,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,1.57,Leche Desnatada Ultrafiltrada Suprema Central Lechera Asturiana Sin Lactosa Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-ultrafiltrada-suprema-central-lechera-asturiana-sin-lactosa-brik-1-l-/
1,16/07/2024,1.57,Leche Desnatada Ultrafiltrada Suprema Central Lechera Asturiana Sin Lactosa Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-ultrafiltrada-suprema-central-lechera-asturiana-sin-lactosa-brik-1-l-/
2,17/07/2024,1.57,Leche Desnatada Ultrafiltrada Suprema Central Lechera Asturiana Sin Lactosa Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-ultrafiltrada-suprema-central-lechera-asturiana-sin-lactosa-brik-1-l-/
3,18/07/2024,1.57,Leche Desnatada Ultrafiltrada Suprema Central Lechera Asturiana Sin Lactosa Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-ultrafiltrada-suprema-central-lechera-asturiana-sin-lactosa-brik-1-l-/
4,19/07/2024,1.57,Leche Desnatada Ultrafiltrada Suprema Central Lechera Asturiana Sin Lactosa Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-ultrafiltrada-suprema-central-lechera-asturiana-sin-lactosa-brik-1-l-/
5,20/07/2024,1.57,Leche Desnatada Ultrafiltrada Suprema Central Lechera Asturiana Sin Lactosa Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-ultrafiltrada-suprema-central-lechera-asturiana-sin-lactosa-brik-1-l-/
6,21/07/2024,1.57,Leche Desnatada Ultrafiltrada Suprema Central Lechera Asturiana Sin Lactosa Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-ultrafiltrada-suprema-central-lechera-asturiana-sin-lactosa-brik-1-l-/
7,22/07/2024,1.57,Leche Desnatada Ultrafiltrada Suprema Central Lechera Asturiana Sin Lactosa Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-ultrafiltrada-suprema-central-lechera-asturiana-sin-lactosa-brik-1-l-/
8,23/07/2024,1.57,Leche Desnatada Ultrafiltrada Suprema Central Lechera Asturiana Sin Lactosa Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-ultrafiltrada-suprema-central-lechera-asturiana-sin-lactosa-brik-1-l-/
9,24/07/2024,1.57,Leche Desnatada Ultrafiltrada Suprema Central Lechera Asturiana Sin Lactosa Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-ultrafiltrada-suprema-central-lechera-asturiana-sin-lactosa-brik-1-l-/
10,25/07/2024,1.57,Leche Desnatada Ultrafiltrada Suprema Central Lechera Asturiana Sin Lactosa Brik 1 L.,,1.0,l,leche,carrefour,https://super.facua.org/carrefour/leche/leche-desnatada-ultrafiltrada-suprema-central-lechera-asturiana-sin-lactosa-brik-1-l-/
