,Día,Precio (€),product_name,quantity,magnitude,units,category_name,supermarket_name,url
0,15/07/2024,6.49,"Leche En Polvo Desnatada Sveltesse, Lata 400 G",,400.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-en-polvo-desnatada-sveltesse-lata-400-g/
1,16/07/2024,6.49,"Leche En Polvo Desnatada Sveltesse, Lata 400 G",,400.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-en-polvo-desnatada-sveltesse-lata-400-g/
2,17/07/2024,6.49,"Leche En Polvo Desnatada Sveltesse, Lata 400 G",,400.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-en-polvo-desnatada-sveltesse-lata-400-g/
3,18/07/2024,6.49,"Leche En Polvo Desnatada Sveltesse, Lata 400 G",,400.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-en-polvo-desnatada-sveltesse-lata-400-g/
4,19/07/2024,6.49,"Leche En Polvo Desnatada Sveltesse, Lata 400 G",,400.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-en-polvo-desnatada-sveltesse-lata-400-g/
5,20/07/2024,6.49,"Leche En Polvo Desnatada Sveltesse, Lata 400 G",,400.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-en-polvo-desnatada-sveltesse-lata-400-g/
6,21/07/2024,6.49,"Leche En Polvo Desnatada Sveltesse, Lata 400 G",,400.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-en-polvo-desnatada-sveltesse-lata-400-g/
7,22/07/2024,6.49,"Leche En Polvo Desnatada Sveltesse, Lata 400 G",,400.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-en-polvo-desnatada-sveltesse-lata-400-g/
8,23/07/2024,6.49,"Leche En Polvo Desnatada Sveltesse, Lata 400 G",,400.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-en-polvo-desnatada-sveltesse-lata-400-g/
9,24/07/2024,6.49,"Leche En Polvo Desnatada Sveltesse, Lata 400 G",,400.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-en-polvo-desnatada-sveltesse-lata-400-g/
10,25/07/2024,6.49,"Leche En Polvo Desnatada Sveltesse, Lata 400 G",,400.0,g,leche,eroski,https://super.facua.org/eroski/leche/leche-en-polvo-desnatada-sveltesse-lata-400-g/
